Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
9485,,10476,,110142,,11112,,44503,,36531,,9023,,13760,,9325,,,,60,102,4.123695642818619,0,5,0,2,161,108,8,0,124,0,2,30,23.75648011496683,18,10.032611142271543,130,23,3.036557169700686,13.024406237732551,3,68.86303860680137,133314470.6890329,,52865.2810669,52865.28136735236,,,144215,,,0
7090,,8055,,79687,,8738,,31447,,25704,,6977,,10538,,7254,,,,61,103,5.324387881216756,0,7,1,1,201,99,24,1,128,0,0,64,20.08323167949492,14,51.19737173666644,50,66,0,12.22471027526397,13,60.287608686379244,100921595.21092188,,48549.9379817,48549.93774847935,,,105803,,,0
9746,,10349,,133529,,11566,,53761,,43260,,9959,,20816,,10733,,,,62,104,3.3937163855923687,0,20,1,0,158,114,4,0,106,0,0,27,25.07226659552664,24,41.97758444160857,140,14,170.257130205697,12.407837996852544,3,37.90810136820711,210504683.91137114,,75785.9453912,75785.9461159061,,,170190,,,0
11726,,13408,,148052,,13331,,49344,,53139,,10531,,26990,,10202,,,,63,105,3.7228152123296536,0,7,2,2,364,97,2,1,309,0,1,45,15.780218527805053,15,20.130025788491864,260,10,0,10.100851547994743,3,0,347339814.6773959,,133249.269265,133249.11946211173,,,188671,,,0
7843,,8787,,94996,,8798,,34266,,33474,,7264,,15048,,6961,,,,64,106,2.4758409327493793,0,4,0,0,169,66,2,0,128,0,0,37,15.00164573176892,10,24.382738351149378,72,11,1.1407367551639578,5.8894775995788375,3,16.747622511947803,172423537.43385756,,102871.621192,102867.20155550657,,,122441,,,0
7962,,10699,,120111,,11882,,42331,,39510,,8206,,21082,,9435,,,,65,107,0.9993529881887532,0,2,3,0,151,78,2,0,108,0,0,39,14.98117968557716,14,38.39414220714473,126,9,0,7.353342974370816,2,22.95374365786047,207501247.36879483,,69289.8837732,69289.88573559339,,,151107,,,0
4890,,5258,,93674,,8178,,44967,,26982,,5325,,11972,,6236,,,,66,108,9.521450407562096,0,21,1,0,178,94,0,0,110,21.0219040921761,0,36,38.842287211598766,23,14.343271641713097,104,12,1.6129407702668836,6.822556466705367,4,67.11282258773134,139600940.4159414,,73560.8890398,73560.24295799679,,,113208,,,0
11217,,12927,,204687,,15757,,70784,,72305,,11490,,40611,,12263,,,,67,109,1.5378237196470244,0,11,6,1,241,107,13,0,137,0,1,86,21.5866318018225,25,36.24931111958867,113,75,0,15.030051804414333,16,52.06293663328093,322755824.8623742,,133161.650538,133159.66733813394,,,247354,,,0
9236,,10498,,134922,,14489,,59968,,39844,,10494,,16180,,11925,,,,68,110,8.021535174653181,0,14,5,0,132,113,15,0,65,11.671013393975457,0,48,23.38416709237003,42,23.420130338235815,59,48,80.14311978488595,7.716656219467675,9,79.73068308026794,112103986.90171863,,72812.6108644,72812.58956705323,,,172634,,,0
6466,,6736,,94340,,6270,,30385,,35650,,5901,,19645,,5378,,,,69,111,0,0,2,1,0,81,44,5,0,57,3.1480273422621874,0,21,12.960109975525993,17,17.0646166891769,146,16,0,3.413756013589418,0,0,260346918.9683108,,97511.0833144,97510.91264012341,,,116431,,,0
